species,scenario,year,phi_mean,phi_sd,gamma_mean,gamma_sd
LABO,rotation_2yr,2018,0.9294613688459988,0.0393259066913318,0.08216094157627907,0.0288643878197859
LABO,rotation_2yr,2019,0.9040789175406683,0.04179460533027456,0.018106142350406033,0.01638044586575756
LABO,rotation_2yr,2020,0.9556997694075652,0.034026055033442214,0.050134717334324744,0.022988286606125223
LABO,rotation_2yr,2021,0.9681167015569702,0.027527895802508577,0.034501732557468925,0.018995091875469262
LABO,rotation_2yr,2022,0.9651108989340886,0.029282615472625628,0.051323283352250504,0.02405152255037644
LABO,rotation_2yr,2023,0.9459343438467387,0.034462489256275076,0.07428388412266432,0.04045402096956789
LABO,rotation_3yr,2016,0.42122962887403476,0.055415222604040755,0.13037278385902068,0.07954264633570052
LABO,rotation_3yr,2017,0.9302366382709838,0.045513511416573955,0.02934544220217751,0.026121548805375726
LABO,rotation_3yr,2018,0.9336154049094622,0.03843725792997927,0.09161217924610467,0.03403304608690707
LABO,rotation_3yr,2019,0.8361268676502371,0.05754814694007258,0.017861025174800173,0.01626409031864013
LABO,rotation_3yr,2020,0.9610168557746211,0.03348249819693363,0.05567364588297883,0.024758533400096646
LABO,rotation_3yr,2021,0.9711337241068989,0.026241039431618655,0.041795938305641704,0.022631190407513893
LABO,rotation_3yr,2022,0.9551247632256321,0.03816425981313096,0.0637935808266144,0.02884396844519165
LABO,rotation_3yr,2023,0.91357100830302,0.049665773192129094,0.057726462727289304,0.034388858839733596
LABO,rotation_4yr,2016,0.426220054762147,0.0554314197830335,0.1349313776013267,0.08242356793374996
LABO,rotation_4yr,2017,0.9314021480285762,0.045083041019103806,0.02984881743520413,0.02686564715803162
LABO,rotation_4yr,2018,0.9181705163970142,0.045632144902722736,0.08023439113541556,0.031556639535140214
LABO,rotation_4yr,2019,0.893957357655051,0.04483003692844609,0.019298423069201806,0.017961482104922384
LABO,rotation_4yr,2020,0.9613729604189367,0.032490372959721174,0.05134015432308706,0.024100421561497942
LABO,rotation_4yr,2021,0.9613483491459701,0.033378173191521796,0.032988271029057895,0.018846068252612144
LABO,rotation_4yr,2022,0.9402510767470834,0.04485781192365311,0.06528490560789299,0.030374802678844928
LABO,rotation_4yr,2023,0.9321388660055113,0.04172334921980392,0.11950809456749772,0.05417835270753182
LABO,rotation_5yr,2016,0.4129868614919144,0.05414132259004331,0.13153610034222615,0.08103007603117919
LABO,rotation_5yr,2017,0.9463922939371155,0.035599501205501594,0.02926512810670693,0.025916623029568948
LABO,rotation_5yr,2018,0.93282006390358,0.038739961466659534,0.07844894085229266,0.030493289585174246
LABO,rotation_5yr,2019,0.8581492812320579,0.0549714190757192,0.013716190193711945,0.01302875580370696
LABO,rotation_5yr,2020,0.9586251080152746,0.03550185100769212,0.0488009908127469,0.023324589142232045
