site,region,lat,long,elevation,park_name,n_years,is_bc_park,is_alaska,site_type
79018_SW,Kootenay Region,50.177706,-116.959679,NA,Meadow Creek,9,FALSE,FALSE,Fixed (BC)
86074_NE,South Coastal Region,49.23087,-122.305598,NA,Stave,7,FALSE,FALSE,Fixed (BC)
86074_NW,South Coastal Region,49.184424,-122.403309,NA,Stave,4,FALSE,FALSE,Fixed (BC)
86074_SE,South Coastal Region,49.169621,-122.319295,NA,Stave,5,FALSE,FALSE,Fixed (BC)
86074_SW,South Coastal Region,49.141737,-122.382035,NA,Stave,7,FALSE,FALSE,Fixed (BC)
89962_NE,Kootenay Region,49.07682,-117.5986,NA,Fort Shepherd,2,FALSE,FALSE,Fixed (BC)
89962_SE,Kootenay Region,49.00974,-117.57236,NA,Fort Shepherd,2,FALSE,FALSE,Fixed (BC)
89962_SW,Kootenay Region,49.0077,-117.63034,NA,Fort Shepherd,2,FALSE,FALSE,Fixed (BC)
93290_NE,Okanagan Region,49.443606,-119.565345,NA,Penticton,5,FALSE,FALSE,Fixed (BC)
93290_NW,Okanagan Region,49.4153057,-119.6018008,NA,Penticton,8,FALSE,FALSE,Fixed (BC)
93290_SE,Okanagan Region,49.384329,-119.5616458,NA,Penticton,8,FALSE,FALSE,Fixed (BC)
93290_SW,Okanagan Region,49.37943,-119.59374,NA,Penticton,8,FALSE,FALSE,Fixed (BC)
94522_NW,Northern Region,53.10732,-131.86467,NA,Haida Gwaii,4,TRUE,FALSE,BC Parks (Rotating)
94522_SE,Northern Region,53.08196,-131.77925,NA,Haida Gwaii,3,TRUE,FALSE,BC Parks (Rotating)
9466_NE,Northern Region,57.34435226,-125.5093223,NA,Kwadacha,2,FALSE,FALSE,Fixed (BC)
9466_NW,Northern Region,57.345896,-125.5503739,NA,Kwadacha,2,FALSE,FALSE,Fixed (BC)
9466_SE,Northern Region,57.31574876,-125.4903741,NA,Kwadacha,2,FALSE,FALSE,Fixed (BC)
9466_SW,Northern Region,57.2948285,-125.5147378,NA,Kwadacha,2,FALSE,FALSE,Fixed (BC)
986_NE,Northern Region,53.188,-121.302249,NA,Bowron,7,TRUE,FALSE,BC Parks (Rotating)
986_SE,Northern Region,53.139202,-121.257697,NA,Bowron,7,TRUE,FALSE,BC Parks (Rotating)
