"site","park_name","region","lat","long","n_years","is_bc_park","is_alaska","site_type"
"42026_SE","Moberly Lake","Northern Region",55.81796825,-121.6640549,2,TRUE,FALSE,"BC Parks (Rotating)"
"42026_SW","Moberly Lake","Northern Region",55.81130793,-121.7013079,2,TRUE,FALSE,"BC Parks (Rotating)"
"47210_NE","Kelowna","Okanagan Region",49.84024333,-119.8811811,2,FALSE,FALSE,"Fixed (BC)"
"47210_NW","Kelowna","Okanagan Region",49.84159091,-119.9782986,2,FALSE,FALSE,"Fixed (BC)"
"47210_SE","Kelowna","Okanagan Region",49.79638208,-119.8698479,2,FALSE,FALSE,"Fixed (BC)"
"47310_NW","Ketchikan","Alaska",55.49629,-131.70515,5,FALSE,TRUE,"Fixed (Alaska)"
"47310_SE","Ketchikan","Alaska",55.45411,-131.61887,4,FALSE,TRUE,"Fixed (Alaska)"
"47310_SW","Ketchikan","Alaska",55.44204,-131.62489,5,FALSE,TRUE,"Fixed (Alaska)"
"47322_NE","Bear Mountain","Northern Region",55.698075,-120.43213,8,FALSE,FALSE,"Fixed (BC)"
"47322_NW","Bear Mountain","Northern Region",55.70016,-120.489889,8,FALSE,FALSE,"Fixed (BC)"
"47322_SE","Bear Mountain","Northern Region",55.64597,-120.40102,7,FALSE,FALSE,"Fixed (BC)"
"47322_SW","Bear Mountain","Northern Region",55.65446,-120.49465,8,FALSE,FALSE,"Fixed (BC)"
"5006_NW","Petersburg","Alaska",56.67385,-132.77744,5,FALSE,TRUE,"Fixed (Alaska)"
"5006_SE","Petersburg","Alaska",56.65803,-132.67407,5,FALSE,TRUE,"Fixed (Alaska)"
"57322_NE","Sumas","South Coastal Region",49.094543,-122.098809,7,FALSE,FALSE,"Fixed (BC)"
"57322_NW","Sumas","South Coastal Region",49.07915,-122.16077,6,FALSE,FALSE,"Fixed (BC)"
"57322_SE","Sumas","South Coastal Region",49.0141,-122.09198,6,FALSE,FALSE,"Fixed (BC)"
"57322_SW","Sumas","South Coastal Region",49.016633,-122.151312,5,FALSE,FALSE,"Fixed (BC)"
"5994_NE","Baynes Lake","Kootenay Region",49.260667,-115.248935,5,FALSE,FALSE,"Fixed (BC)"
"5994_SE","Baynes Lake","Kootenay Region",49.212282,-115.26277,5,FALSE,FALSE,"Fixed (BC)"
"60586_NW","Spillimacheen","Kootenay Region",50.93041,-116.39001,5,FALSE,FALSE,"Fixed (BC)"
"60586_SW","Spillimacheen","Kootenay Region",50.90342,-116.39335,5,FALSE,FALSE,"Fixed (BC)"
"6202_NE","Goldstream","South Coastal Region",48.537407,-123.501191,7,TRUE,FALSE,"BC Parks (Rotating)"
"6202_NW","Goldstream","South Coastal Region",48.507881,-123.600878,6,TRUE,FALSE,"BC Parks (Rotating)"
"6202_SE","Goldstream","South Coastal Region",48.4893431,-123.5078995,4,TRUE,FALSE,"BC Parks (Rotating)"
"6202_SW","Goldstream","South Coastal Region",48.486373,-123.549127,6,TRUE,FALSE,"BC Parks (Rotating)"
"70250_NW","Nicholson","Kootenay Region",51.24583,-116.91793,5,FALSE,FALSE,"Fixed (BC)"
"70250_SW","Nicholson","Kootenay Region",51.20982,-116.89974,3,FALSE,FALSE,"Fixed (BC)"
"73002_NE","Lillooet","Okanagan Region",50.850673,-121.872189,8,FALSE,FALSE,"Fixed (BC)"
"73002_SE","Lillooet","Okanagan Region",50.824841,-121.868963,9,FALSE,FALSE,"Fixed (BC)"
"73002_SW","Lillooet","Okanagan Region",50.80422,-121.87782,9,FALSE,FALSE,"Fixed (BC)"
"73786_NW","Delta","South Coastal Region",49.12334,-123.06198,9,FALSE,FALSE,"Fixed (BC)"
"73786_SE","Delta","South Coastal Region",49.12604,-123.001631,9,FALSE,FALSE,"Fixed (BC)"
"73786_SW","Delta","South Coastal Region",49.108227,-123.079916,7,FALSE,FALSE,"Fixed (BC)"
"77162_NE","Revelstoke","Kootenay Region",50.95478,-118.09975,6,FALSE,FALSE,"Fixed (BC)"
"77162_SW","Revelstoke","Kootenay Region",50.886,-118.10586,8,FALSE,FALSE,"Fixed (BC)"
"79018_NE","Meadow Creek","Kootenay Region",50.202097,-116.910069,9,FALSE,FALSE,"Fixed (BC)"
