species,scenario,year,psi_mean,psi_lcl,psi_ucl
LANO,rotation_4yr,2019,0.8117541666666667,0.7604166666666666,0.859375
LANO,rotation_4yr,2020,0.7676590277777777,0.71875,0.8125
LANO,rotation_4yr,2021,0.8501722222222222,0.796875,0.8958333333333334
LANO,rotation_4yr,2022,0.7967951388888889,0.75,0.8385416666666666
LANO,rotation_4yr,2023,0.8432715277777778,0.7916666666666666,0.890625
LANO,rotation_4yr,2024,0.9088076388888889,0.8645833333333334,0.9479166666666666
LABO,full,2016,0.6744712749615975,0.5529953917050692,0.7926267281105991
LABO,full,2017,0.37223778801843316,0.31797235023041476,0.43317972350230416
LABO,full,2018,0.35889462365591396,0.3225806451612903,0.39631336405529954
LABO,full,2019,0.34565960061443934,0.31336405529953915,0.3778801843317972
LABO,full,2020,0.3290328725038402,0.2995391705069124,0.35944700460829493
LABO,full,2021,0.3562814132104455,0.3317972350230415,0.3824884792626728
LABO,full,2022,0.3656884792626728,0.34101382488479265,0.3870967741935484
LABO,full,2023,0.39801290322580646,0.37327188940092165,0.423963133640553
LABO,full,2024,0.3546168970814132,0.3271889400921659,0.3870967741935484
LABO,rotation_2yr,2016,0.7030666666666666,0.5786802030456852,0.817258883248731
LABO,rotation_2yr,2017,0.3916169204737733,0.3350253807106599,0.45685279187817257
LABO,rotation_2yr,2018,0.3740927241962775,0.3350253807106599,0.4213197969543147
LABO,rotation_2yr,2019,0.34939357021996614,0.3197969543147208,0.38071065989847713
LABO,rotation_2yr,2020,0.34396818950930624,0.3197969543147208,0.37055837563451777
LABO,rotation_2yr,2021,0.3579005076142132,0.3299492385786802,0.38071065989847713
LABO,rotation_2yr,2022,0.37237495769881557,0.350253807106599,0.39086294416243655
LABO,rotation_2yr,2023,0.4001197969543147,0.3756345177664975,0.4263959390862944
LABO,rotation_2yr,2024,0.37467140439932317,0.34517766497461927,0.41116751269035534
LABO,rotation_3yr,2016,0.702351452991453,0.5743589743589743,0.8153846153846154
LABO,rotation_3yr,2017,0.3868259829059829,0.3282051282051282,0.4512820512820513
LABO,rotation_3yr,2018,0.369265641025641,0.3230769230769231,0.41025641025641024
LABO,rotation_3yr,2019,0.35638153846153847,0.3230769230769231,0.38974358974358975
LABO,rotation_3yr,2020,0.3414386324786325,0.3076923076923077,0.37435897435897436
LABO,rotation_3yr,2021,0.3542940170940171,0.3282051282051282,0.37948717948717947
LABO,rotation_3yr,2022,0.3684471794871795,0.3435897435897436,0.39487179487179486
LABO,rotation_3yr,2023,0.3985162393162393,0.358974358974359,0.4358974358974359
LABO,rotation_3yr,2024,0.3480642735042735,0.29743589743589743,0.4
LABO,rotation_4yr,2016,0.6981861111111111,0.578125,0.8125
LABO,rotation_4yr,2017,0.38773958333333336,0.328125,0.4583333333333333
LABO,rotation_4yr,2018,0.3669854166666667,0.3125,0.421875
LABO,rotation_4yr,2019,0.34221944444444446,0.296875,0.3802083333333333
LABO,rotation_4yr,2020,0.3458409722222222,0.3125,0.375
LABO,rotation_4yr,2021,0.36227569444444446,0.3333333333333333,0.390625
LABO,rotation_4yr,2022,0.3747034722222222,0.34375,0.40625
LABO,rotation_4yr,2023,0.41158333333333336,0.3697916666666667,0.4479166666666667
