species,scenario,year,psi_mean,psi_sd,psi_lcl,psi_ucl
MYLU,full,2023,0.9721561441858472,0.008752115808961377,0.9535714285714286,0.9857142857142858
MYLU,full,2024,0.93504814767191,0.012334258191925006,0.9071428571428571,0.9571428571428572
MYLU,rotation_2yr,2016,0.9034007717318494,0.028929495285648227,0.8381294964028777,0.9532374100719424
MYLU,rotation_2yr,2017,0.9485977374715889,0.020015844378869274,0.9028776978417267,0.9820143884892086
MYLU,rotation_2yr,2018,0.9699887254912541,0.012773731619886153,0.9388489208633094,0.9892086330935251
MYLU,rotation_2yr,2019,0.952876582622291,0.012403875539539705,0.9244604316546763,0.9748201438848921
MYLU,rotation_2yr,2020,0.9260444030014512,0.01448870730180058,0.89568345323741,0.9496402877697842
MYLU,rotation_2yr,2021,0.9557329833702795,0.011661188145498116,0.9316546762589928,0.9748201438848921
MYLU,rotation_2yr,2022,0.9443688973213868,0.011770410025970731,0.9172661870503597,0.9640287769784173
MYLU,rotation_2yr,2023,0.9631722165022257,0.011733529954827522,0.9388489208633094,0.9820143884892086
MYLU,rotation_2yr,2024,0.9469903824914866,0.01357188727318216,0.9172661870503597,0.9712230215827338
MYLU,rotation_3yr,2016,0.8972005409496173,0.029909014889401724,0.832089552238806,0.9477611940298507
MYLU,rotation_3yr,2017,0.9154236319154303,0.025895333993923065,0.8582089552238806,0.9589552238805971
MYLU,rotation_3yr,2018,0.9871886442375581,0.011078953797986449,0.9589552238805971,1
MYLU,rotation_3yr,2019,0.9721748294232408,0.010802747943097015,0.9477611940298507,0.9888059701492538
MYLU,rotation_3yr,2020,0.9208260378276634,0.01562845766799085,0.8880597014925373,0.9477611940298507
MYLU,rotation_3yr,2021,0.9507674648061821,0.013202865482087657,0.9216417910447762,0.9738805970149254
MYLU,rotation_3yr,2022,0.944265695226239,0.01239739194162798,0.917910447761194,0.9664179104477612
MYLU,rotation_3yr,2023,0.9640098338192028,0.013846250368355706,0.9328358208955224,0.9850746268656716
MYLU,rotation_3yr,2024,0.9477074573128955,0.015693894402840164,0.9104477611940298,0.9738805970149254
MYLU,rotation_4yr,2016,0.8965632622741828,0.029846969716241255,0.8327137546468402,0.9479553903345725
MYLU,rotation_4yr,2017,0.9127778948898607,0.02621166642001474,0.8550185873605948,0.9553903345724907
