"site","lat","long","grts_cell","region","water_nearby","site_type","dist_road_km","dist_harvest_km","region_idx","elevation_m","Quadrant"
"5006_NW",56.67385,-132.77744,5006,"Alaska",0,NA,1.50005603027344,NA,1,237,"NW"
"5006_SE",56.65803,-132.67407,5006,"Alaska",1,NA,0.500018676757813,NA,1,56,"SE"
"57322_NE",49.094543,-122.098809,57322,"South Coastal Region",0,"Always On",0.2539629621,2.363509378,5,8,NA
"57322_NW",49.07915,-122.16077,57322,"South Coastal Region",1,"Always On",0.1205385,1.194108838,5,6,NA
"57322_SE",49.0141,-122.09198,57322,"South Coastal Region",0,"Always On",0.012836279,0.4100287022,5,214,NA
"57322_SW",49.016633,-122.151312,57322,"South Coastal Region",1,"Always On",0.005943036135,1.750410131,5,9,NA
"5994_NE",49.260667,-115.248935,5994,"Kootenay Region",0.520547945205479,"Always On",0.1709249629,0.1026117181,2,755,NA
"5994_SE",49.212282,-115.26277,5994,"Kootenay Region",0.520547945205479,"Always On",0.3575045406,0.5139402792,2,850,NA
"60586_NW",50.93041,-116.39001,60586,"Kootenay Region",0,"Always On",0.01689568676,0.961835646,2,790,NA
"60586_SW",50.90342,-116.39335,60586,"Kootenay Region",1,"Always On",0.5465327848,0.9800106674,2,791,NA
"6202_NE",48.537407,-123.501191,6202,"South Coastal Region",0,"Rotating",0.2126708774,4.416441116,5,231,NA
"6202_NW",48.507881,-123.600878,6202,"South Coastal Region",1,"Rotating",0.1690202609,0.03661149594,5,511,NA
"6202_SE",48.4893431,-123.5078995,6202,"South Coastal Region",1,"Rotating",0.03645562852,1.051500975,5,115,NA
"6202_SW",48.486373,-123.549127,6202,"South Coastal Region",1,"Rotating",0.1710092878,2.541465387,5,1,NA
"70250_NW",51.24583,-116.91793,70250,"Kootenay Region",1,"Always On",0.04477389726,1.867429333,2,784,NA
"70250_SW",51.20982,-116.89974,70250,"Kootenay Region",1,"Always On",0.08358280234,0.9486150855,2,784,NA
"73002_NE",50.850673,-121.872189,73002,"Okanagan Region",0,"Always On",0.4153603736,1.990453251,4,410,NA
"73002_SE",50.824841,-121.868963,73002,"Okanagan Region",0,"Always On",0,1.616523735,4,433,NA
"73002_SW",50.80422,-121.87782,73002,"Okanagan Region",0,"Always On",0.01088285157,1.411112609,4,588,NA
"73786_NW",49.12334,-123.06198,73786,"South Coastal Region",1,"Always On",0.05219899771,26.07692664,5,2,NA
"73786_SE",49.12604,-123.001631,73786,"South Coastal Region",1,"Always On",0.06198020321,23.31507149,5,6,NA
"73786_SW",49.108227,-123.079916,73786,"South Coastal Region",1,"Always On",0.07653932696,28.05740503,5,0,NA
"77162_NE",50.95478,-118.09975,77162,"Kootenay Region",0,"Rotating",0.005351036241,5.348763745,2,1882,NA
"77162_SW",50.886,-118.10586,77162,"Kootenay Region",0,"Rotating",0.02263373406,0.40422484,2,483,NA
"79018_NE",50.202097,-116.910069,79018,"Kootenay Region",0,"Always On",0.0194320244,0.2269639997,2,949,NA
"79018_NW",50.193827,-116.947519,79018,"Kootenay Region",0,"Always On",0.1927059048,0.4326385036,2,543,NA
"79018_SE",50.187225,-116.904186,79018,"Kootenay Region",0,"Always On",0.003312919565,0,2,876,NA
"79018_SW",50.177706,-116.959679,79018,"Kootenay Region",1,"Always On",0.1431021336,0.6145802267,2,537,NA
"86074_NE",49.23087,-122.305598,86074,"South Coastal Region",0,"Always On",0.008829033293,0,5,250,NA
"86074_NW",49.184424,-122.403309,86074,"South Coastal Region",1,"Always On",0.06386608793,2.113166561,5,10,NA
"86074_SE",49.169621,-122.319295,86074,"South Coastal Region",0,"Always On",0.04247243197,0.5261592262,5,140,NA
"86074_SW",49.141737,-122.382035,86074,"South Coastal Region",1,"Always On",0.009565036799,2.299976549,5,13,NA
"89962_NE",49.07682,-117.5986,89962,"Kootenay Region",0.520547945205479,"Always On",0.121143013,2.114058227,2,622,NA
