"site","lat","long","grts_cell","region","water_nearby","site_type","dist_road_km","dist_harvest_km","region_idx","elevation_m","GRTS.Cell.ID","Quadrant"
"47322_SW",55.65446,-120.49465,47322,"Northern Region",1,"Always On",0.02998535336,0.5562251146,2,714,NA,NA
"57322_NE",49.094543,-122.098809,57322,"South Coastal Region",0,"Always On",0.2539629621,2.363509378,4,8,NA,NA
"57322_NW",49.07915,-122.16077,57322,"South Coastal Region",1,"Always On",0.1205385,1.194108838,4,6,NA,NA
"57322_SE",49.0141,-122.09198,57322,"South Coastal Region",0,"Always On",0.012836279,0.4100287022,4,214,NA,NA
"57322_SW",49.016633,-122.151312,57322,"South Coastal Region",1,"Always On",0.005943036135,1.750410131,4,9,NA,NA
"5994_NE",49.260667,-115.248935,5994,"Kootenay Region",0.520547945205479,"Always On",0.1709249629,0.1026117181,1,755,NA,NA
"5994_SE",49.212282,-115.26277,5994,"Kootenay Region",0.520547945205479,"Always On",0.3575045406,0.5139402792,1,850,NA,NA
"60586_NW",50.93041,-116.39001,60586,"Kootenay Region",0,"Always On",0.01689568676,0.961835646,1,790,NA,NA
"60586_SW",50.90342,-116.39335,60586,"Kootenay Region",1,"Always On",0.5465327848,0.9800106674,1,791,NA,NA
"6202_NE",48.537407,-123.501191,6202,"South Coastal Region",0,"Rotating",0.2126708774,4.416441116,4,231,NA,NA
"6202_NW",48.507881,-123.600878,6202,"South Coastal Region",1,"Rotating",0.1690202609,0.03661149594,4,511,NA,NA
"6202_SE",48.4893431,-123.5078995,6202,"South Coastal Region",1,"Rotating",0.03645562852,1.051500975,4,115,NA,NA
"6202_SW",48.486373,-123.549127,6202,"South Coastal Region",1,"Rotating",0.1710092878,2.541465387,4,1,NA,NA
"70250_NW",51.24583,-116.91793,70250,"Kootenay Region",1,"Always On",0.04477389726,1.867429333,1,784,NA,NA
"70250_SW",51.20982,-116.89974,70250,"Kootenay Region",1,"Always On",0.08358280234,0.9486150855,1,784,NA,NA
"73002_NE",50.850673,-121.872189,73002,"Okanagan Region",0,"Always On",0.4153603736,1.990453251,3,410,NA,NA
"73002_SE",50.824841,-121.868963,73002,"Okanagan Region",0,"Always On",0,1.616523735,3,433,NA,NA
"73002_SW",50.80422,-121.87782,73002,"Okanagan Region",0,"Always On",0.01088285157,1.411112609,3,588,NA,NA
"73786_NW",49.12334,-123.06198,73786,"South Coastal Region",1,"Always On",0.05219899771,26.07692664,4,2,NA,NA
"73786_SE",49.12604,-123.001631,73786,"South Coastal Region",1,"Always On",0.06198020321,23.31507149,4,6,NA,NA
"73786_SW",49.108227,-123.079916,73786,"South Coastal Region",1,"Always On",0.07653932696,28.05740503,4,0,NA,NA
"77162_NE",50.95478,-118.09975,77162,"Kootenay Region",0,"Rotating",0.005351036241,5.348763745,1,1882,NA,NA
"77162_SW",50.886,-118.10586,77162,"Kootenay Region",0,"Rotating",0.02263373406,0.40422484,1,483,NA,NA
"79018_NE",50.202097,-116.910069,79018,"Kootenay Region",0,"Always On",0.0194320244,0.2269639997,1,949,NA,NA
"79018_NW",50.193827,-116.947519,79018,"Kootenay Region",0,"Always On",0.1927059048,0.4326385036,1,543,NA,NA
"79018_SE",50.187225,-116.904186,79018,"Kootenay Region",0,"Always On",0.003312919565,0,1,876,NA,NA
"79018_SW",50.177706,-116.959679,79018,"Kootenay Region",1,"Always On",0.1431021336,0.6145802267,1,537,NA,NA
"86074_NE",49.23087,-122.305598,86074,"South Coastal Region",0,"Always On",0.008829033293,0,4,250,NA,NA
"86074_NW",49.184424,-122.403309,86074,"South Coastal Region",1,"Always On",0.06386608793,2.113166561,4,10,NA,NA
"86074_SE",49.169621,-122.319295,86074,"South Coastal Region",0,"Always On",0.04247243197,0.5261592262,4,140,NA,NA
"86074_SW",49.141737,-122.382035,86074,"South Coastal Region",1,"Always On",0.009565036799,2.299976549,4,13,NA,NA
"89962_NE",49.07682,-117.5986,89962,"Kootenay Region",0.520547945205479,"Always On",0.121143013,2.114058227,1,622,NA,NA
"89962_SE",49.00974,-117.57236,89962,"Kootenay Region",0.520547945205479,"Always On",0.006560468573,0.6926835266,1,477,NA,NA
"89962_SW",49.0077,-117.63034,89962,"Kootenay Region",0.520547945205479,"Always On",0.8385265622,1.949114285,1,448,NA,NA
"93290_NE",49.443606,-119.565345,93290,"Okanagan Region",0,"Always On",0.2994743139,3.905937228,3,612,NA,NA
"93290_NW",49.4153057,-119.6018008,93290,"Okanagan Region",1,"Always On",0.05326662817,2.431751285,3,369,NA,NA
"93290_SE",49.384329,-119.5616458,93290,"Okanagan Region",1,"Always On",0.07001597073,2.125808577,3,341,NA,NA
"93290_SW",49.37943,-119.59374,93290,"Okanagan Region",0,"Always On",0.1875848579,4.097361051,3,560,NA,NA
"94522_NW",53.10732,-131.86467,94522,"Northern Region",1,"Always On",0.05104225867,0.0580305833,2,49,NA,NA
"94522_SE",53.08196,-131.77925,94522,"Northern Region",1,"Always On",0,0.2107891547,2,89,NA,NA
"9466_NE",57.34435226,-125.5093223,9466,"Northern Region",0.520547945205479,"Always On",0.1906551524,0.1261668858,2,748,NA,NA
