"site","grts_cell","region","region_idx","site_type","lat","long","elevation","water","dist_road_km","dist_harvest_km"
"6202_SW",6202,"South Coastal Region",4,"Rotating",48.486373,-123.549127,1000,1,0.1710092878,2.541465387
"70250_NW",70250,"Kootenay Region",1,"Always On",51.24583,-116.91793,1000,1,0.04477389726,1.867429333
"70250_SW",70250,"Kootenay Region",1,"Always On",51.20982,-116.89974,1000,1,0.08358280234,0.9486150855
"73002_NE",73002,"Okanagan Region",3,"Always On",50.850673,-121.872189,1000,0,0.4153603736,1.990453251
"73002_SE",73002,"Okanagan Region",3,"Always On",50.824841,-121.868963,1000,0,0,1.616523735
"73002_SW",73002,"Okanagan Region",3,"Always On",50.80422,-121.87782,1000,0,0.01088285157,1.411112609
"73786_NW",73786,"South Coastal Region",4,"Always On",49.12334,-123.06198,1000,1,0.05219899771,26.07692664
"73786_SE",73786,"South Coastal Region",4,"Always On",49.12604,-123.001631,1000,1,0.06198020321,23.31507149
"73786_SW",73786,"South Coastal Region",4,"Always On",49.108227,-123.079916,1000,1,0.07653932696,28.05740503
"77162_NE",77162,"Kootenay Region",1,"Rotating",50.95478,-118.09975,1000,0,0.005351036241,5.348763745
"77162_SW",77162,"Kootenay Region",1,"Rotating",50.886,-118.10586,1000,0,0.02263373406,0.40422484
"79018_NE",79018,"Kootenay Region",1,"Always On",50.202097,-116.910069,1000,0,0.0194320244,0.2269639997
"79018_NW",79018,"Kootenay Region",1,"Always On",50.193827,-116.947519,1000,0,0.1927059048,0.4326385036
"79018_SE",79018,"Kootenay Region",1,"Always On",50.187225,-116.904186,1000,0,0.003312919565,0
"79018_SW",79018,"Kootenay Region",1,"Always On",50.177706,-116.959679,1000,1,0.1431021336,0.6145802267
"86074_NE",86074,"South Coastal Region",4,"Always On",49.23087,-122.305598,1000,0,0.008829033293,0
"86074_NW",86074,"South Coastal Region",4,"Always On",49.184424,-122.403309,1000,1,0.06386608793,2.113166561
"86074_SE",86074,"South Coastal Region",4,"Always On",49.169621,-122.319295,1000,0,0.04247243197,0.5261592262
"86074_SW",86074,"South Coastal Region",4,"Always On",49.141737,-122.382035,1000,1,0.009565036799,2.299976549
"89962_NE",89962,"Kootenay Region",1,"Always On",49.07682,-117.5986,1000,0,0.121143013,2.114058227
"89962_SE",89962,"Kootenay Region",1,"Always On",49.00974,-117.57236,1000,0,0.006560468573,0.6926835266
"89962_SW",89962,"Kootenay Region",1,"Always On",49.0077,-117.63034,1000,0,0.8385265622,1.949114285
"93290_NE",93290,"Okanagan Region",3,"Always On",49.443606,-119.565345,1000,0,0.2994743139,3.905937228
"93290_NW",93290,"Okanagan Region",3,"Always On",49.4153057,-119.6018008,1000,1,0.05326662817,2.431751285
"93290_SE",93290,"Okanagan Region",3,"Always On",49.384329,-119.5616458,1000,1,0.07001597073,2.125808577
"93290_SW",93290,"Okanagan Region",3,"Always On",49.37943,-119.59374,1000,0,0.1875848579,4.097361051
"94522_NW",94522,"Northern Region",2,"Always On",53.10732,-131.86467,1000,1,0.05104225867,0.0580305833
"94522_SE",94522,"Northern Region",2,"Always On",53.08196,-131.77925,1000,1,0,0.2107891547
"9466_NE",9466,"Northern Region",2,"Always On",57.34435226,-125.5093223,1000,0,0.1906551524,0.1261668858
"9466_NW",9466,"Northern Region",2,"Always On",57.345896,-125.5503739,1000,0,0.1119223908,0.1474106162
"9466_SE",9466,"Northern Region",2,"Always On",57.31574876,-125.4903741,1000,0,0,0.161702612
"9466_SW",9466,"Northern Region",2,"Always On",57.2948285,-125.5147378,1000,0,0.06707006024,0.5842346102
"986_NE",986,"Northern Region",2,"Rotating",53.188,-121.302249,1000,1,2.400135399,2.167391333
"986_SE",986,"Northern Region",2,"Rotating",53.139202,-121.257697,1000,1,2.45100423,1.930172639
