site,grts_cell,region,lat,long,n_years,site_type,rotation_group
86074_SW,86074,South Coastal Region,49.141737,-122.382035,7,Core,0
89962_NE,89962,Kootenay Region,49.07682,-117.5986,2,Core,0
89962_SE,89962,Kootenay Region,49.00974,-117.57236,2,Core,0
89962_SW,89962,Kootenay Region,49.0077,-117.63034,2,Core,0
93290_NE,93290,Okanagan Region,49.443606,-119.565345,5,Core,0
93290_NW,93290,Okanagan Region,49.4153057,-119.6018008,8,Core,0
93290_SE,93290,Okanagan Region,49.384329,-119.5616458,8,Core,0
93290_SW,93290,Okanagan Region,49.37943,-119.59374,8,Core,0
94522_NW,94522,Northern Region,53.10732,-131.86467,4,Core,0
94522_SE,94522,Northern Region,53.08196,-131.77925,3,Core,0
9466_NE,9466,Northern Region,57.34435226,-125.5093223,2,Core,0
9466_NW,9466,Northern Region,57.345896,-125.5503739,2,Core,0
9466_SE,9466,Northern Region,57.31574876,-125.4903741,2,Core,0
9466_SW,9466,Northern Region,57.2948285,-125.5147378,2,Core,0
986_NE,986,Northern Region,53.188,-121.302249,7,Rotating,5
986_SE,986,Northern Region,53.139202,-121.257697,7,Rotating,1
